    ABADUE, 31.563, 44.508, 3.950, Fdd2
    ABUMIX, 23.500, 3.725, 22.500, C2/c
    ACBUOL, 27.552, 4.995, 29.122, C2/c
    ACEPIK, 39.972, 5.390, 42.198, C2/c
    ACIHEB, 21.713, 4.155, 23.567, C2/c
    ACOHIN, 24.976, 30.150, 4.547, P21212
    ACOWIC, 29.870, 34.755, 3.712, Cm
  ACPYRI01, 32.060, 3.804, 21.302, C2/c
    ADIKAA, 20.245, 4.021, 20.245, P21/c
    ADIKIK, 22.492, 3.945, 20.893, P2/c
  ADNCHG10, 23.990, 4.245, 25.980, P21/c
    ADUFOX, 22.181, 3.374, 16.996, Pna21
    AFAJEZ, 46.504, 46.504, 4.882, R-3
    AFOLUD, 28.887, 32.733, 4.928, Fdd2
  AFOLUD01, 28.887, 32.733, 4.928, Fdd2
    AFOPOD, 35.567, 5.733, 33.199, C2
    AGINAI, 4.272, 30.796, 31.895, P21/c
    AGINOW, 25.902, 4.017, 29.044, I2/a
    AGINUC, 31.156, 4.358, 34.404, Pna21
    AHAKAY, 41.508, 41.508, 5.582, I41/a
  AHAKAY01, 41.508, 41.508, 5.582, I41/a
    AHIDIE, 26.502, 5.143, 44.366, C2/c
    AJIBUS, 35.203, 4.925, 30.419, Pca21
    AJOVEB, 40.024, 40.024, 7.720, R-3
    AKEYAT, 24.633, 55.062, 4.662, Fdd2
    AKUPOM, 35.530, 35.530, 5.436, R-3
  ALABUK02, 31.397, 3.918, 21.798, C2/c
    ALAHIG, 25.811, 4.034, 22.133, Pna21
    ALICEE, 19.916, 19.916, 3.224, I4122
    ALICII, 20.739, 20.739, 3.346, I4122
    ALILOY, 32.013, 4.658, 25.009, C2/c
    ALISOD, 31.934, 31.934, 5.819, R-3
    AMAGAX, 43.571, 43.571, 7.718, R-3
    AMAHIF, 40.097, 40.097, 6.239, R-3
  AMBNAC03, 25.500, 27.160, 3.850, Unknown
    AMBRCD, 26.264, 3.862, 21.564, C2/c
    AMEBUP, 33.191, 4.037, 24.876, C2/c
    AMIFEJ, 31.465, 29.663, 5.379, Fdd2
  ANTHON10, 20.900, 3.860, 33.200, P21/c
    APHSYD, 19.852, 3.805, 20.848, P21/n
    APINEV, 32.300, 32.300, 3.920, R3
    APIYOP, 29.840, 85.630, 5.440, Fdd2
    AQAXAT, 43.610, 6.059, 33.754, C2/c
    AQEPIX, 28.138, 28.138, 4.445, R3
    AQIJIV, 24.295, 3.852, 25.488, P21/n
  AQIJIV01, 24.317, 3.808, 25.459, P21/n
    ARAYIE, 26.866, 4.541, 23.698, C2/c
    ARICIO, 25.484, 25.484, 4.979, R3
    ARIJIX, 28.206, 29.985, 3.710, Fdd2
    ASIHUF, 30.154, 4.052, 39.317, I2/a
    ASOZOY, 21.662, 4.006, 21.773, C2/c
    ASUMEG, 30.764, 4.922, 26.335, C2/c
    ATABIJ, 29.512, 3.694, 24.579, P21/c
    ATABOP, 29.520, 3.672, 24.651, P21/c
    ATABUV, 29.718, 3.692, 24.790, P21/c
    ATEGAK, 36.337, 39.615, 4.311, Fdd2
    ATIJUJ, 41.287, 41.287, 6.263, R-3
    AVEBIP, 43.462, 40.812, 3.713, Fdd2
    AWEVUV, 19.090, 3.808, 27.347, P21/c
    AXUSUJ, 28.065, 36.966, 4.271, Fdd2
    AYEMEX, 28.016, 42.400, 5.013, Fdd2
    AYIQEH, 28.290, 3.905, 20.264, P21/c
    AYITIO, 37.561, 37.561, 6.003, R-3
    AYIZIT, 3.875, 21.016, 27.461, P21/n
    AYOLAE, 36.575, 4.660, 25.037, C2/c
  AYOLAE01, 36.335, 4.700, 24.950, C2/c
    AYOYIX, 19.487, 3.661, 20.245, C2/c
    AYUQEQ, 24.108, 4.732, 25.337, I2/a
    AYUWAV, 4.011, 20.981, 25.560, P21/c
    BADCAN, 50.132, 50.132, 5.798, P65
  BADPEB01, 44.942, 5.638, 31.206, C2
    BADTEJ, 28.054, 4.735, 33.624, C2/c
    BAGHUQ, 3.762, 24.323, 41.416, Pnnn
  BAGHUQ01, 47.501, 47.501, 7.417, I41/acd
    BALDUO, 41.854, 44.000, 6.927, Fdd2
    BAMZAU, 24.866, 61.007, 4.605, Fdd2
